"filename", "language", "JSON", "Dart", "comment", "blank", "total"
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\assets\questionnaires\PSQI_5.json", "JSON", 540, 0, 0, 0, 540
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\assets\questionnaires\TEQ_4.json", "JSON", 180, 0, 0, 1, 181
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\assets\questionnaires\TFI_3.json", "JSON", 397, 0, 0, 0, 397
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\assets\questionnaires\THI_1.json", "JSON", 673, 0, 0, 0, 673
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\assets\questionnaires\VAS_2.json", "JSON", 146, 0, 0, 0, 146
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\Quizs_Page\aQuizPage.dart", "Dart", 0, -1794, -236, -130, -2160
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\Quizs_Page\aQuizResultPage.dart", "Dart", 0, -215, -43, -14, -272
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\Quizs_Page\qrDisplay.dart", "Dart", 0, -42, -106, -11, -159
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\Quizs_Page\quizLocalHispage.dart", "Dart", 0, -92, -93, -10, -195
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\SectionsNavigator.dart", "Dart", 0, -57, -41, -8, -106
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\configs\app_colors.dart", "Dart", 0, -16, -1, -3, -20
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\configs\media_QSize.dart", "Dart", 0, -19, -2, -4, -25
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\loginpage.dart", "Dart", 0, -94, -15, -5, -114
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\main.dart", "Dart", 0, -115, -29, -23, -167
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\Answer.dart", "Dart", 0, -18, 0, -5, -23
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\Aspectscored.dart", "Dart", 0, -20, 0, -5, -25
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\PsqiAns.dart", "Dart", 0, -13, -1, -4, -18
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\Question.dart", "Dart", 0, -20, 0, -6, -26
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\QuizInfo.dart", "Dart", 0, -38, -18, -7, -63
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\Quiz_types.dart", "Dart", 0, -7, -1, -1, -9
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\QuizeLoadHelper.dart", "Dart", 0, -37, -3, -5, -45
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\ResultRankRef.dart", "Dart", 0, -18, 0, -5, -23
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\StoreQuizsTodate.dart", "Dart", 0, -14, -8, -6, -28
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\UserResultRecord.dart", "Dart", 0, -27, 0, -6, -33
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\getQrString.dart", "Dart", 0, 0, -5, -2, -7
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\routers\routers.dart", "Dart", 0, 0, -41, -7, -48
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\sections\quizsSelection_section.dart", "Dart", 0, -342, -66, -11, -419
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\foldingcell.dart", "Dart", 0, -180, -15, -24, -219
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\mybutton.dart", "Dart", 0, -34, 0, -5, -39
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\mytimepicker.dart", "Dart", 0, -103, -7, -10, -120
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\radiotile_options.dart", "Dart", 0, -64, -40, -24, -128
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\slider0_10.dart", "Dart", 0, -131, -14, -11, -156
"Total", "-", 1936, -3510, -785, -351, -2710